0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,53565,"1,766 (3.3%)",,"1,686 (95.5%)",80 (4.5%),7261,83,,81 (97.6%),16 (36.4%),28 (63.6%),0,37,2 (2.4%),0,1 (100%),1
,134628,"4,782 (3.6%)",,"4,610 (96.4%)",172 (3.6%),14607,349,,341 (97.7%),50 (20.5%),194 (79.5%),0,97,8 (2.3%),0,2 (100%),6
,216088,"9,142 (4.2%)",,"8,887 (97.2%)",255 (2.8%),24935,984,,965 (98.1%),121 (16.3%),621 (83.7%),0,223,19 (1.9%),0,8 (100%),11
,327191,"17,271 (5.3%)",,"16,901 (97.9%)",370 (2.1%),33638,1699,,"1,674 (98.5%)",289 (20.9%),"1,097 (79.1%)",0,288,25 (1.5%),1 (6.3%),15 (93.8%),9
,457029,"32,046 (7.0%)",,"31,558 (98.5%)",488 (1.5%),44656,2854,,"2,824 (98.9%)",485 (21.2%),"1,798 (78.8%)",0,541,30 (1.1%),0,15 (100.0%),15
,575479,"49,726 (8.6%)",,"49,064 (98.7%)",662 (1.3%),53659,4493,,"4,459 (99.2%)",807 (22.8%),"2,733 (77.2%)",1 (<0.1%),918,34 (0.8%),0,18 (100%),16
,740644,"75,545 (10.2%)",,"74,728 (98.9%)",817 (1.1%),64933,6602,,"6,558 (99.3%)","1,183 (22.3%)","4,127 (77.7%)",1 (<0.1%),1247,44 (0.7%),0,22 (100%),22
,907795,"113,482 (12.5%)",,"112,488 (99.1%)",994 (0.9%),73201,8437,,"8,391 (99.5%)","1,469 (21.2%)","5,463 (78.8%)",1 (<0.1%),1458,46 (0.5%),0,25 (100%),21
,1058393,"150,865 (14.3%)",,"149,704 (99.2%)","1,161 (0.8%)",84961,11695,,"11,646 (99.6%)","1,980 (21.4%)","7,284 (78.6%)",1 (<0.1%),2381,49 (0.4%),0,27 (100%),22
,1219825,"192,458 (15.8%)",,"191,112 (99.3%)","1,346 (0.7%)",96317,14494,,"14,440 (99.6%)","2,480 (21.5%)","9,054 (78.5%)",1 (<0.1%),2905,54 (0.4%),0,30 (100%),24
,1400183,"237,237 (16.9 %)",,"235,705 (99.4%)","1,532 (0.6%)",107874,17454,,"17,393 (99.7%)","3,005 (21.5%)","10,943 (78.5%)",1 (<0.1%),3444,61 (0.3%),0,36 (100%),25
,1524788,"263,930 (17.3%)",,"262,264 (99.4%)","1,666 (0.6%)",115821,19337,,"19,271 (99.7%)","3,314 (21.6%)","12,026 (78.4%)",1 (<0.1%),3930,66 (0.3%),0,38 (100%),28
