0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,58481,"1,274 (2.2%)",,"1,213 (95.2%)",61 (4.8%),7729,133,,130 (97.7%),18 (26.9%),49 (73.1%),0,63,3 (2.3%),0,1 (100%),2
,61813,"2,712 (4.4%)",,"2,639 (97.3%)",73 (2.7%),6854,137,,135 (98.5%),20 (22.5%),69 (77.5%),0,46,2 (1.5%),0,0,2
,66955,"4,129 (6.2%)",,"4,061 (98.4%)",68 (1.6%),8367,298,,291 (97.7%),43 (25.4%),126 (74.6%),0,122,7 (2.3%),0,0,7
,83742,"7,504 (9.0%)",,"7,422 (98.9%)",82 (1.1%),8187,467,,466 (99.8%),108 (33.8%),212 (66.3%),0,146,1 (0.2%),0,0,1
,103311,"13,178 (12.8%)",,"13,086 (99.3%)",92 (0.7%),8824,705,,700 (99.3%),108 (24.9%),325 (75.1%),0,267,5 (0.7%),0,0,5
,103830,"15,308 (14.7%)",,"15,185 (99.2%)",123 (0.8%),7575,912,,911 (99.9%),121 (24.6%),370 (75.4%),0,420,1 (0.1%),0,0,1
,119615,"21,796 (18.2%)",,"21,677 (99.5%)",119 (0.5%),9673,1423,,"1,418 (99.6%)",206 (24.2%),646 (75.8%),0,566,5 (0.4%),0,0,5
,130584,"32,733 (25.1%)",,"32,594 (99.6%)",139 (0.4%),7447,1264,,"1,263 (99.9%)",123 (15.6%),667 (84.4%),0,473,1 (0.1%),0,0,1
,143924,"35,704 (24.8%)",,"35,568 (99.6%)",136 (0.4%),9844,1974,,"1,974 (100%)",244 (23.9%),776 (76.1%),0,954,0 (0%),0,0,0
,123987,"31,442 (25.4%)",,"31,287 (99.5%)",155 (0.5%),8996,1763,,"1,760 (99.8%)",190 (20.2%),750 (79.8%),0,820,3 (0.2%),0,1 (100%),2
,135848,"33,202 (24.4%)",,"33,041 (99.5%)",161 (0.5%),9081,1588,,"1,583 (99.7%)",182 (22.2%),637 (77.8%),0,764,5 (0.3%),0,2 (100%),3
,95260,"18,816 (19.8%)",,"18,720 (99.5%)",96 (0.5%),6652,941,,937 (99.6%),71 (16.9%),348 (83.1%),0,518,4 (0.4%),0,1 (100%),3
,93589,"14,027 (15.0%)",,"13,905 (99.1%)",122 (0.9%),5389,613,,611 (99.7%),79 (29.8%),186 (70.2%),0,346,2 (0.3%),0,1 (100%),1
,96123,"8,281 (8.6%)",,"8,169 (98.6%)",112 (1.4%),6724,743,,736 (99.1%),130 (28.4%),328 (71.6%),0,278,7 (0.9%),0,6 (100%),1
,75638,"3,498 (4.6%)",,"3,403 (97.3%)",95 (2.7%),6315,453,,442 (97.6%),63 (18.7%),274 (81.3%),0,105,11 (2.4%),0,6 (100%),5
,86499,"2,588 (3.0%)",,"2,484 (96.0%)",104 (4.0%),5727,338,,329 (97.3%),67 (26.8%),183 (73.2%),0,79,9 (2.7%),0,2 (100%),7
,69223,"1,483 (2.1%)",,"1,396 (94.1%)",87 (5.9%),5495,166,,165 (99.4%),44 (37.6%),73 (62.4%),0,48,1 (0.6%),0,0,1
,65550,"1,107 (1.7%)",,998 (90.2%),109 (9.8%),5463,115,,109 (94.8%),38 (45.8%),45 (54.2%),0,26,6 (5.2%),0,4 (100%),2
,84389,"1,155 (1.4%)",,951 (82.3%),204 (17.7%),6251,135,,121 (89.6%),47 (56.0%),37 (44.0%),0,37,14 (10.4%),0,7 (100%),7
,80331,833 (1.0%),,618 (74.2%),215 (25.8%),6020,83,,72 (86.7%),24 (45.3%),29 (54.7%),0,19,11 (13.3%),0,6 (100%),5
,70339,682 (1.0%),,538 (78.9%),144 (21.1%),5944,73,,67 (91.8%),18 (36.7%),31 (63.3%),0,18,6 (8.2%),0,3 (100%),3
,64083,565 (0.9%),,396 (70.1%),169 (29.9%),6414,88,,72 (81.8%),23 (45.1%),28 (54.9%),0,21,16 (18.2%),0,7 (100%),9
,66138,666 (1.0%),,441 (66.2%),225 (33.8%),6258,79,,58 (73.4%),23 (65.7%),12 (34.3%),0,23,21 (26.6%),0,9 (100%),12
,64650,535 (0.8%),,361 (67.5%),174 (32.5%),5749,46,,34 (73.9%),17 (63.0%),10 (37.0%),0,7,12 (26.1%),0,5 (100%),7
,66542,626 (0.9%),,386 (61.7%),240 (38.3%),5686,64,,43 (67.2%),14 (41.2%),20 (58.8%),0,9,21 (32.8%),0,6 (100%),15
,51569,482 (0.9%),,240 (49.8%),242 (50.2%),4415,44,,26 (59.1%),10 (62.5%),6 (37.5%),0,10,18 (40.9%),0,8 (100%),10
,52742,515 (1.0%),,269 (52.2%),246 (47.8%),4531,56,,32 (57.1%),17 (70.8%),7 (29.2%),0,8,24 (42.9%),0,15 (100%),9
